# Dictionnaire apostrophes français
# F. Issac
>f	l	c	d
aujourd'hui	aujourd'hui	R--	Sg
aujourd’hui	aujourd'hui	R--	Sg
c'	ce	Pd----	Sg
ç'	ce	Pd----	Sg
d'abondance	d'abondance	R--	Sg
d’abondance	d'abondance	R--	Sg
d'abord	d'abord	R--	Sg
d’abord	d'abord	R--	Sg
d'ailleurs	d'ailleurs	A----	Sg
d’ailleurs	d'ailleurs	A----	Sg
d'ailleurs	d'ailleurs	R--	Sg
d’ailleurs	d'ailleurs	R--	Sg
d'aplomb	d'aplomb	A----	Sg
d’aplomb	d'aplomb	A----	Sg
d'après	d'après	R--	Sg
d’après	d'après	R--	Sg
d'autrefois	d'autrefois	A----	Sg
d’autrefois	d'autrefois	A----	Sg
d'avance	d'avance	R--	Sg
d’avance	d'avance	R--	Sg
d'	de	Da---i	Sg
d'	de	Di----	Sg
d'	de	SpF	Sg
d'emblée	d'emblée	R--	Sg
d’emblée	d'emblée	R--	Sg
d'ici	d'ici	R--	Sg
d’ici	d'ici	R--	Sg
d'importance	d'importance	A----	Sg
d’importance	d'importance	A----	Sg
d'office	d'office	R--	Sg
d’office	d'office	R--	Sg
d'urgence	d'urgence	R--	Sg
d’urgence	d'urgence	R--	Sg
entr'aima	entr'aimer	Vmis3s-	Sg
entr’aima	entr'aimer	Vmis3s-	Sg
entr'aimaient	entr'aimer	Vmii3p-	Sg
entr’aimaient	entr'aimer	Vmii3p-	Sg
entr'aimai	entr'aimer	Vmis1s-	Sg
entr’aimai	entr'aimer	Vmis1s-	Sg
entr'aimais	entr'aimer	Vmii1s-	Sg
entr’aimais	entr'aimer	Vmii1s-	Sg
entr'aimais	entr'aimer	Vmii2s-	Sg
entr’aimais	entr'aimer	Vmii2s-	Sg
entr'aimait	entr'aimer	Vmii3s-	Sg
entr’aimait	entr'aimer	Vmii3s-	Sg
entr'aimâmes	entr'aimer	Vmis1p-	Sg
entr’aimâmes	entr'aimer	Vmis1p-	Sg
entr'aimant	entr'aimer	Vmpp---	Sg
entr’aimant	entr'aimer	Vmpp---	Sg
entr'aimas	entr'aimer	Vmis2s-	Sg
entr’aimas	entr'aimer	Vmis2s-	Sg
entr'aimasse	entr'aimer	Vmsi1s-	Sg
entr’aimasse	entr'aimer	Vmsi1s-	Sg
entr'aimassent	entr'aimer	Vmsi3p-	Sg
entr’aimassent	entr'aimer	Vmsi3p-	Sg
entr'aimasses	entr'aimer	Vmsi2s-	Sg
entr’aimasses	entr'aimer	Vmsi2s-	Sg
entr'aimassiez	entr'aimer	Vmsi2p-	Sg
entr’aimassiez	entr'aimer	Vmsi2p-	Sg
entr'aimassions	entr'aimer	Vmsi1p-	Sg
entr’aimassions	entr'aimer	Vmsi1p-	Sg
entr'aimât	entr'aimer	Vmsi3s-	Sg
entr’aimât	entr'aimer	Vmsi3s-	Sg
entr'aimâtes	entr'aimer	Vmis2p-	Sg
entr’aimâtes	entr'aimer	Vmis2p-	Sg
entr'aimée	entr'aimer	Vmps-s-	Sg
entr’aimée	entr'aimer	Vmps-s-	Sg
entr'aime	entr'aimer	Vmip1s-	Sg
entr’aime	entr'aimer	Vmip1s-	Sg
entr'aime	entr'aimer	Vmip3s-	Sg
entr’aime	entr'aimer	Vmip3s-	Sg
